,单词,后缀,单词释义
496,devise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"vt.设计,发明,图谋,作出(计划),想出(办法),遗赠给;n.遗赠"
497,diagnose,ose 表形容词， 多...的,v.诊断
498,diameter,er 表动词， 反复做,n.直径
499,dictation,ation 表名词， 行为，过程，结果,"n.听写,口述"
500,differ,er 表动词， 反复做,"vi.不一致,不同"
501,digital,al 表名词， 人，物，状态,"adj.数字的,数位的,手指的;n.数字,数字式"
502,dignity,ty 表名词，用在形容词后，把形容词变成名词,"n.尊严,高贵"
503,diligent,ent 表形容词， ...的,"adj.勤勉的,用功的,细心而继续不断的"
504,dimension,ion 表名词， 动作或状态 分为 sion和tion两种,"n.尺寸,尺度,维(数),度(数),元"
505,diminish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"v.(使)减少,(使)变小"
506,diplomatic,atic 表形容词， 有...性质的,"adj.外交的,老练的"
507,directly,ly 表形容词，通常加在名词后。,"adv.直接地,立即"
508,directory,y 表名词，加在形容词或以r结尾的单词后。,"n.姓名地址录,目录"
509,disable,able 表形容词， 可...的，能...,"v.使残废,使失去能力,丧失能力"
510,disappear,ar 表形容词， ...的,"vi.消失,不见"
511,disaster,er 表动词， 反复做,"n.灾难,天灾,灾祸"
512,discard,ard 表名词， 不好的人,"vt.丢弃,抛弃;v.放弃"
513,discern,ern 表形容词， ...方向的,"v.目睹,认识,洞悉,辨别,看清楚"
514,discipline,ine 表形容词， ...的,"n.纪律,学科;v.训练"
515,disclose,ose 表形容词， 多...的,"vt.揭露,透露"
516,discourage,"age 名词后缀,表示 状态，总称","vt.使气馁,阻碍"
517,discreet,et 表示 小,"adj.小心的,慎重的,有思虑的,贤明的"
518,discrepancy,y 表名词，加在形容词或以r结尾的单词后。,"n.相差,差异,矛盾"
519,discriminate,ate 表形容词， 具有...的,"v.歧视,区别,区别待遇"
520,disguise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"v.假装,伪装,掩饰;n.伪装"
521,dismay,y 表名词，加在形容词或以r结尾的单词后。,"n.沮丧,惊慌;v.使沮丧,使惊慌"
522,disorder,er 表动词， 反复做,"n.杂乱,混乱,无秩序状态;vt.扰乱,使失调,使紊乱"
523,display,y 表名词，加在形容词或以r结尾的单词后。,"vt.陈列,展览,显示;n.陈列,展览,显示,显示器"
524,dispose,ose 表形容词， 多...的,"v.处理,处置,部署;vt.布置,安排,除去,使愿意"
525,disposition,on 表名词，指人、物和一些物理学上的名词,n.部署
526,disregard,ard 表名词， 不好的人,"v.不理漠视;n.漠视,忽视"
527,dissipate,ate 表形容词， 具有...的,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
528,distinction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.区别,差别,级别,特性,声望,显赫"
529,distinguish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"v.区别,辨别"
530,distress,ress 表名词，指 物品 ,"n.悲痛,穷困,不幸,危难,忧伤;v.使悲痛,使穷困,使忧伤"
531,distribution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行"
532,disturbance,ance 表名词， 性质，状况,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
533,dive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","vi.潜水,跳水,下潜,俯冲;n.潜水,跳水,下潜,俯冲"
534,diversion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.转移,转换,牵制,解闷,娱乐"
535,divine,ine 表形容词， ...的,"adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师"
536,division,ion 表名词， 动作或状态 分为 sion和tion两种,"n.分开,分割,区分,除法,公司,(军事)师,分配,分界线"
537,dizzy,y 表名词，加在形容词或以r结尾的单词后。,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
538,doctrine,ine 表形容词， ...的,"n.教条,学说"
539,document,ent 表形容词， ...的,"n.公文,文件,文档,档案,文献;v.证明"
540,domain,ain 表名词， ...人,"n.领土,领地,(活动、学问等的)范围,领域"
541,domestic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.家庭的,国内的,与人共处的,驯服的"
542,dominate,ate 表形容词， 具有...的,"v.支配,占优势"
543,donate,ate 表名词， 人或地位,"v.捐赠,赠予"
544,donation,ion 表名词， 动作或状态 分为 sion和tion两种,"n.捐赠品,捐款,贡献"
545,donkey,y 表名词，加在形容词或以r结尾的单词后。,"n.驴子,笨蛋,顽固者,(=donkeyengine)轻便发动机,(=donkeypump)辅助泵"
546,dormitory,ory 表名词，指场所等,n.宿舍
547,dose,ose 表形容词， 多...的,"n.剂量,(一)剂,(一)服;v.(给...)服药"
548,dot,ot 表名词， ...人,"n.点,圆点,园点;vt.在...上打点"
549,doubtless,less 表形容词， 无...的，不...的,"adj.无疑的,确定的;adv.无疑地,确定地,<口>大概、多半"
550,downward,ward 表形容词+副词， 向...,adj.向下的
551,dragon,on 表名词，指人、物和一些物理学上的名词,"n.龙,凶暴的人,严厉而有警觉性的女人"
552,drainage,"age 名词后缀,表示 状态，总称","n.排水,排泄,排水装置,排水区域,排出物,消耗"
553,dramatic,atic 表形容词， 有...性质的,"adj.戏剧性的,生动的"
554,drastic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.激烈的,(药性等)猛烈的"
555,drawer,er 表动词， 反复做,"n.抽屉,画家,制图员,(用复数)衬裤、内裤"
556,dreadful,"ful 表形容词, 有...的","adj.可怕的,<口>讨厌的"
557,dual,al 表名词， 人，物，状态,"adj.双的,二重的,双重"
558,dubious,"ious 表形容词, ....的","adj.可疑的,不确定的"
559,duplicate,ate 表形容词， 具有...的,"adj.复制的,副的,两重的,两倍的,完全相同;n.复制品,副本;vt.复写,复制,使加倍,使成双"
560,duration,ation 表名词， 行为，过程，结果,"n.持续时间,为期"
561,dynamic,"ic 表形容词, ....的 ，有时作tic","adj.动力的,动力学的,动态的"
562,Easter,aster 表名词， 不怎么样的人,n.[宗](耶稣)复活节
563,eccentric,"ic 表形容词, ....的 ，有时作tic",adj.古怪;n.行为古怪的人
564,echo,o 表名词，用于音乐术语,"n.回声,回音,回波;vi.发回声,随声附和;vt.摹仿,重复,反射;[计]禁止(或允许)在屏上显示批处理命令行"
565,ecology,y 表名词，加在形容词或以r结尾的单词后。,"n.生态学,[社会]环境适应学,均衡系统"
566,economical,ical 表形容词， ...的,"adj.节约的,经济的"
567,economy,y 表名词，加在形容词或以r结尾的单词后。,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
568,edition,ition 表名词， 行为过程，状态,"n.版本,版"
569,editor,itor 表名词， 人,"n.编辑,编辑器,编者"
570,editorial,ial 表形容词， 有...的,"n.社论;adj.编辑上的,主笔的,社论的"
571,educate,ate 表动词， 做，造成,"vt.教育,训练,培养;v.教育"
572,efficiency,ency 表名词，ence 的变体,"n.效率,功效"
573,efficient,ent 表形容词， ...的,"adj.(直接)生效的,有效率的,能干的"
574,ego,o 表名词，用于音乐术语,"n.自我,利已主义,自负"
575,elaborate,ate 表形容词， 具有...的,"adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述"
576,elastic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,adj.弹性的
577,elderly,ly 表形容词，通常加在名词后。,"adj.过了中年的,稍老的"
578,election,ion 表名词， 动作或状态 分为 sion和tion两种,"n.选举,当选,选择权,[宗]上帝的选拔"
579,electric,"ic 表形容词, ....的 ，有时作tic","adj.电的,导电的,电动的,电气"
580,electrical,al 表形容词， ...的,"adj.电的,有关电的"
581,electricity,ity 表名词，指具备某种性质,"n.电流,电,电学"
582,electron,on 表名词，指人、物和一些物理学上的名词,n.电子
583,electronic,"ic 表形容词, ....的 ，有时作tic",adj.电子的
584,element,ment 表名词， 行为或结果,"n.要素,元素,成分,元件,自然环境"
585,elementary,ary 表名词， 人，场所，物,"adj.初步的,基本的,[化]元素的,自然力的"
586,elevate,ate 表动词， 做，造成,"vt.举起,提拔,振奋,提升...的职位"
587,elevator,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.电梯,升降机,[空]升降舵"
588,eligible,ible 形容词 能...的,"adj.符合条件的,合格的"
589,eliminate,ate 表形容词， 具有...的,"vt.排除,消除;v.除去"
590,elite,ite 表形容词， 有...的,"n.<法>[集合名词]精华,精锐,中坚分子"
591,eloquent,ent 表形容词， ...的,"adj.雄辩的,有口才的,动人的,意味深长的"
592,embassy,y 表名词，加在形容词或以r结尾的单词后。,"n.大使及其随员,大使的派遣,大使馆"
593,embody,y 表名词，加在形容词或以r结尾的单词后。,"vt.具体表达,使具体化,包含,收录"
594,emergency,ency 表名词，ence 的变体,"n.紧急情况,突然事件,非常时刻,紧急事件"
595,emit,it 表名词，通常是抽象名词,"vt.发出,放射,吐露,散发,发表,发行"
596,emotion,on 表名词，指人、物和一些物理学上的名词,"n.情绪,情感,感情"
597,emotional,al 表形容词， ...的,"adj.情绪的,情感的"
598,emphasize,ize 构成一些动词,"vt.强调,着重;v.强调"
599,empirical,ical 表形容词， ...的,"adj.完全根据经验的,经验主义的,[化]实验式"
600,employee,ee 表名词， 被动或主动的人,"n.职工,雇员,店员"
601,employment,ment 表名词， 行为或结果,"n.雇用,使用,利用,工作,职业"
602,enclose,ose 表形容词， 多...的,"vt.放入封套,装入,围绕"
603,encounter,er 表动词， 反复做,"v.遭遇,遇到,相遇;n.遭遇,遭遇战"
604,endeavor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.努力,尽力;vi.尽力,努力"
605,endless,less 表形容词， 无...的，不...的,"adj.无止境的,无穷的"
606,endurance,ance 表名词， 性质，状况,"n.忍耐(力),持久(力),耐久(性)"
607,energetic,etic 表形容词， 属于...的,"adj.精力充沛的,积极的"
608,engage,"age 名词后缀,表示 状态，总称","vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合"
609,engagement,ent 表形容词， ...的,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
610,engineering,ing 表形容词， 正...的 ， 令人...的,n.工程(学)
611,enlighten,en 表动词， 变成,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
612,enquiry,ry 表示集合名词,n.询问
613,entertain,ain 表名词， ...人,"vt.娱乐,招待,接受,怀抱;vi.款待"
614,enthusiastic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.热心的,热情的"
615,entity,ity 表名词，指具备某种性质,n.实体
616,entry,ry 表示集合名词,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入"
617,envisage,"age 名词后缀,表示 状态，总称",v.正视
618,envy,y 表名词，加在形容词或以r结尾的单词后。,"n.&vt.羡慕,嫉妒"
619,equality,ality 表名词， 状态，性质,"n.等同性,同等,平等,相等,等式"
620,equation,ation 表名词， 行为，过程，结果,"n.相等,平衡,综合体,因素,方程式,等式"
621,equator,ator 表名词，通常由ate结尾的动词而来， 做事的人或物,"n.赤道,赤道似的圈.圆"
622,equivalent,ent 表形容词， ...的,"adj.相等的,相当的,同意义的;n.等价物,相等物"
623,erosion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.腐蚀,侵蚀"
624,erroneous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.错误的,不正确的"
625,error,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.错误,过失,误差"
626,essay,y 表名词，加在形容词或以r结尾的单词后。,"vt.企图,尝试;n.企图,散文,小品文,随笔,短文,评论"
627,essential,ial 表形容词， 有...的,"adj.本质的,实质的,基本的,提炼的,精华的;n.本质,实质,要素,要点"
628,establish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vt.建立,设立,安置,使定居,使人民接受,确定;v.建立"
629,establishment,ent 表形容词， ...的,"n.确立,制定,设施,公司,军事组织"
630,estate,ate 表动词， 做，造成,"n.状态,不动产,时期,阶层,财产"
631,esthetic,"ic 表形容词, ....的 ，有时作tic",adj.感觉的
632,eternal,al 表名词， 人，物，状态,"adj.永恒的,永远的,不灭的,没完没了的"
633,ethnic,"ic 表形容词, ....的 ，有时作tic","adj.人种的,种族的,异教徒的"
634,event,ent 表形容词， ...的,"n.事件,事变,结果,活动,精力,竞赛"
635,evident,ent 表形容词， ...的,"adj.明显的,显然的"
636,evidently,ly 表形容词，通常加在名词后。,"adv.明显地,显然"
637,evolution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.进展,发展,演变,进化"
638,exaggerate,ate 表形容词， 具有...的,"v.夸大,夸张"
639,exceedingly,ly 表形容词，通常加在名词后。,"adv.非常地,极度地"
640,exceptional,al 表名词， 人，物，状态,"adj.例外的,异常的"
641,excessive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.过多的,过分的,额外"
642,excitement,ment 表名词， 行为或结果,"n.刺激,兴奋,激动,搔动"
643,exclusive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
644,excursion,on 表名词，指人、物和一些物理学上的名词,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
645,execution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力"
646,executive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.实行的,执行的,行政的;n.执行者,经理主管人员"
647,exemplify,"fy 表动词, ...化，成为... ，更多时候作 ify","vt.例证,例示,作为...例子"
648,exhibit,it 表名词，通常是抽象名词,"vt.展出,陈列;n.展览品,陈列品,展品;v.展示"
649,existence,ence 表名词， 性质，状态,"n.存在,实在,生活,存在物,实在物"
650,exotic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.异国情调的,外来的,奇异的"
651,expansion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
652,expectation,ion 表示 某种物，用品,"n.期待,预料,指望,展望,[数]期望(值)"
653,expedition,on 表名词，指人、物和一些物理学上的名词,"n.远征,探险队,迅速,派遣"
654,expel,el 表名词， 人或物,"v.驱逐,开除,排出,发射"
655,expenditure,ture ture在s结尾的词根后变成sure,"n.支出,花费"
656,experimental,al 表名词， 人，物，状态,"adj.实验的,根据实验的"
657,expertise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"n.专家的意见,专门技术"
658,explicit,it 表名词，通常是抽象名词,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
659,exploit,it 表名词，通常是抽象名词,"vt.开拓,开发,开采,剥削,用以自肥;v.使用"
660,explosion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.爆发,发出,爆炸,[矿]煤气爆炸"
661,explosive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.爆炸(性)的,爆发(性)的,暴露;n.爆炸物,炸药"
662,expose,ose 表形容词， 多...的,"vt.使暴露,受到,使曝光;v.揭露"
663,exposition,on 表名词，指人、物和一些物理学上的名词,"n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部"
664,expression,ion 表名词， 动作或状态 分为 sion和tion两种,"n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号"
665,exquisite,ite 表形容词， 有...的,"adj.优美的,高雅的,精致的,剧烈的,异常的,细腻的,敏锐的"
666,extension,ion 表名词， 动作或状态 分为 sion和tion两种,"n.延长,扩充,范围;n.扩展名;adj.[逻]外延的,客观现实的"
667,extensive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.广大的,广阔的,广泛的"
668,extent,ent 表形容词， ...的,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
669,exterior,or 表名词， 人或物器 ，在一些词根前写成 ator,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的;n.外部,表面,外型"
670,external,al 表形容词， ...的,"adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面"
671,extinguish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vt.熄灭,消灭,压制,使黯然失色,偿清"
672,extraordinary,ary 表名词， 人，场所，物,"adj.非常的,特别的,非凡的,特派的"
673,extravagant,ant 表形容词， ...的,"adj.奢侈的,浪费的,过分的,放纵的"
674,fabric,"ic 表形容词, ....的 ，有时作tic","n.织品,织物,布,结构,建筑物,构造"
675,facet,et 表示 小,"n.(多面体的)面,(宝石等的)刻面,小平面,方面,琢面;vt.在...上刻画"
676,facility,ity 表名词，指具备某种性质,"n.容易,简易,灵巧,熟练,便利,敏捷,设备,工具"
677,factor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.因素,要素,因数,代理人"
678,faculty,ty 表名词，用在形容词后，把形容词变成名词,"n.才能,本领,能力,全体教员,(大学的)系,科,(授予的)权力"
679,fairly,ly 表形容词，通常加在名词后。,"adv.公正地,正当的,公平对待某人,公平地,相当地,还算,清楚地"
680,fairy,y 表名词，加在形容词或以r结尾的单词后。,"n.仙女,精灵,<美俚>漂亮姑娘;adj.仙女的"
681,faithful,"ful 表形容词, 有...的","adj.守信的,忠实的,详确的,可靠的;n.信徒"
682,famine,ine 表形容词， ...的,"n.饥荒,<古>饥饿,严重的缺乏"
683,fancy,"cy 表名词，也作acy, 性质，状态","adj.奇特的,异样的;vt.想象,设想,认为,爱好,自负;n.爱好,迷恋,想象力"
684,fantasy,y 表名词，加在形容词或以r结尾的单词后。,"n.幻想,白日梦"
685,fascinate,ate 表形容词， 具有...的,"vt.使着迷,使神魂颠倒;vi.入迷,极度迷人的"
686,fascinating,ing 表形容词， 正...的 ， 令人...的,"adj.迷人的,醉人的,着魔的"
687,fashion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.样子,方式,流行,风尚,时样;vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变"
688,fasten,en 表动词， 变成,"vt.扎牢,扣住,闩住,拴紧,使固定,系,集中于,强加于;vi.扣紧,抓住"
689,fatal,al 表形容词， ...的,"adj.致命的,重大的,命运注定的,不幸的,致命的,毁灭性的"
690,faulty,ty 表名词，用在形容词后，把形容词变成名词,"adj.有过失的,有缺点的,不完美的,不完善的"
691,favourable,able 表形容词， 可...的，能...,"adj.赞成的,称许的,有利的,顺利的;n.有利"
692,favourite,ite 表形容词， 有...的,"adj.特别喜爱的,中意的;n.特别喜爱的(或物)"
693,feasible,ible 形容词 能...的,"adj.可行的,切实可行的"
694,feast,ast 表名词， ...人，物,"n.节日,盛宴,筵席,宴会,酒席;vt.盛宴,款待,享乐,请客;vi.参加宴会,享受"
695,feather,er 表动词， 反复做,"n.翎毛,轻的东西,羽毛;vi.长羽毛;vt.用羽毛装饰,射掉(飞禽)的羽毛"
696,federal,al 表名词， 人，物，状态,"adj.联邦的,联合的,联邦制的,同盟的;n.(南北战争)北部联邦同盟盟员;连邦软件公司,国内正版经销商"
697,federation,on 表名词，指人、物和一些物理学上的名词,"n.同盟,联邦,联合,联盟"
698,fee,ee 表名词， 被动或主动的人,"n.费(会费、学费等),酬金"
699,fellowship,ship 表示某种技能,"n.伙伴关系,交情,团体,奖学金,友谊"
700,feminine,ine 表形容词， ...的,"adj.妇女(似)的,娇柔的,阴性的,女性的"
701,ferry,ry 表示集合名词,"n.摆渡,渡船,渡口;vt.渡运,(乘渡船)渡过,运送;vi.摆渡,(船)来往行驶"
702,fertilizer,er 表动词， 反复做,"n.肥料(尤指化学肥料),[动]受精媒介物"
703,festival,al 表形容词， ...的,"n.节日,喜庆日,音乐节,戏剧节,喜庆,欢宴,欢乐;adj.节日的,快乐的"
704,fiction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.虚构,编造,小说"
705,filter,er 表动词， 反复做,"n.滤波器,过滤器,滤光器,筛选;vt.过滤,渗透,用过滤法除去;vi.滤过,渗入,(消息等)走漏,慢慢传开"
706,finally,ly 表形容词，通常加在名词后。,"adv.最后,终于,不可更改地,决定性地"
707,financial,ial 表形容词， 有...的,"adj.财政的,金融的"
708,finding,ing 表形容词， 正...的 ， 令人...的,"n.发现,发现物,决定,[律]裁决"
709,finite,ite 表形容词， 有...的,"adj.有限的,[数]有穷的,限定的"
710,fireman,an 表名词和形容词， ...地方，...人,"n.救火队员,消防队员"
711,fitting,ing 表形容词， 正...的 ， 令人...的,"adj.适合的,相称的,适宜的;n.试穿,试衣,装配,装置"
712,flatter,er 表动词， 反复做,"vt.过分夸赞,奉承,阿谀,使高兴,使满意,(画,肖像上的形象)胜过(真人或实物)"
713,flee,ee 表名词， 被动或主动的人,"vt.逃避,逃跑,逃走;vi.消散,逃,消失"
714,fleet,et 表名词， 小东西,"n.舰队(有固定活动地区舰队),港湾,小河;adj.快速的,敏捷的,浅的;adv.浅;vt.消磨;vi.疾驰,飞逝,掠过"
715,flexible,ible 形容词 能...的,"adj.柔韧性,易曲的,灵活的,柔软的,能变形的,可通融的"
716,fling,ling 表名词， 小东西或某种人,"n.投,掷,猛冲,暴躁的行动,急冲,嘲弄,讥笑;vt.猛投,抛,掷,使陷入,挥动,嘲笑,扫视;vi.猛冲,直冲,急行"
717,flourish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vi.繁荣,茂盛,活跃,手舞足蹈,兴旺,处于旺盛时期;vt.挥动,夸耀;n.茂盛,兴旺,华饰,繁荣"
718,fluctuate,ate 表动词， 做，造成,"vi.变动,波动,涨落,上下,动摇;vt.使动摇,使波动,使起伏"
719,fluid,id 表形容词， 如...的,"n.流动性,流度;adj.流动的,不固定的,可改变的,可另派用场的,流畅的"
720,flutter,er 表动词， 反复做,"n.摆动,鼓翼,烦扰;vi.鼓翼,飘动,悸动,乱跳,烦扰;vt.拍(翅),使焦急"
721,fold,fold 表形容词或副词， 倍，双重,"n.折,羊栏,折痕,信徒;vt.折叠,包,合拢,抱住,笼罩,调入,交迭;vi.折叠起来,彻底失败"
722,following,ing 表形容词， 正...的 ， 令人...的,"n.下列各项,部下,党羽;adj.下列的,其次的;prep.在...之后"
723,forbid,id 表形容词， 如...的,"vt.禁止,不许;v.禁止"
724,forecast,ast 表名词， ...人，物,"n.先见,预见,预测,预报;vt.预想,预测,预报,预兆"
725,forehead,ad 表名词， ...东西，状态,"n.前额,(任何事物的)前部"
726,foresee,ee 表名词， 被动或主动的人,"vt.预见,预知"
727,formal,al 表名词， 人，物，状态,"adj.外形的,正式的,合礼仪的,形式的,整齐匀称的;n.正式的社交活动"
728,formation,ation 表名词， 行为，过程，结果,"n.形成,构成,编队"
729,former,er 表动词， 反复做,"adj.从前的,以前的;n.形成者,创造者,模型,样板"
730,formulate,ate 表形容词， 具有...的,"vt.用公式表示,明确地表达,作简洁陈述;v.阐明"
731,forth,th 表名词，通常指抽象名词,"adv.往前,向外"
732,fortunately,ly 表形容词，通常加在名词后。,adv.幸运地
733,foster,ster 表名词， ...人 ,"vt.养育,抚育,培养,鼓励,抱(希望);n.养育者,鼓励者"
734,foundation,ation 表名词， 行为，过程，结果,"n.基础,根本,建立,创立,地基,基金,基金会"
735,fountain,ain 表名词， ...人,"n.泉水,喷泉,源泉"
736,fraction,on 表名词，指人、物和一些物理学上的名词,"n.小部分,片断,分数"
737,fragile,ile 表形容词， ...的,"adj.易碎的,脆的"
738,fragment,ent 表形容词， ...的,"n.碎片,断片,片段"
739,frantic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.狂乱的,疯狂的"
740,frequency,ency 表名词，ence 的变体,"n.频率,周率,发生次数"
741,frequent,ent 表形容词， ...的,"adj.时常发生的,频繁的"
742,friction,on 表名词，指人、物和一些物理学上的名词,"n.摩擦,摩擦力"
743,frontier,ier 表名词， 人或物,"n.国境,边疆,边境"
744,fruitful,"ful 表形容词, 有...的","adj.果实结得多的,多产的,富有成效的"
745,frustrate,ate 表动词， 做，造成,"v.挫败,阻挠,使感到灰心,阻止"
746,fry,ry 表示集合名词,"n.油炸食物,油炸锅,鱼苗,鱼秧;v.油炸,油煎"
747,function,ion 表名词， 动作或状态 分为 sion和tion两种,"n.官能,功能,作用,职责,典礼,仪式,[数]函数;vi.(器官等)活动,运行,行使职责"
748,fundamental,al 表名词， 人，物，状态,"adj.基础的,基本的;n.基本原则,基本原理"
749,funeral,al 表形容词， ...的,"n.葬礼,出殡"
750,furious,"ious 表形容词, ....的","adj.狂怒的,狂暴的,激烈的,热烈兴奋的,极为激烈"
751,furnish,ish 表形容词， 象...一样，有的... ，通常放在一具体名词后,"vt.供应,提供,装备,布置;v.供给"
752,fury,ry 表示集合名词,"n.狂怒,狂暴,激烈,狂怒的人"
753,fusion,ion 表名词， 动作或状态 分为 sion和tion两种,"n.熔化,熔解,熔合,熔接"
754,galaxy,y 表名词，加在形容词或以r结尾的单词后。,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
755,gallery,y 表名词， 人或小东西 常带有嬉谑性和爱称。,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
756,garbage,"age 名词后缀,表示 状态，总称","n.垃圾,废物"
757,gardener,er 表动词， 反复做,n.园丁
758,garment,ment 表名词， 行为或结果,"n.衣服,外衣,外表"
759,gasoline,ine 表形容词， ...的,n.汽油
760,gear,ar 表形容词， ...的,"n.齿轮,传动装置;v.调整,(使)适合,换档"
761,generalize,ize 构成一些动词,"vt.归纳,概括,推广,普及"
762,generally,ly 表形容词，通常加在名词后。,"adv.一般,通常,一般地"
763,generator,ator 表名词，通常由ate结尾的动词而来， 做事的人或物,"n.发电机,发生器"
764,generous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.慷慨的,大方的,有雅量的"
765,genetic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.遗传的,起源的"
766,genuine,ine 表形容词， ...的,"adj.真实的,真正的,诚恳的"
767,geology,y 表名词，加在形容词或以r结尾的单词后。,"n.地质学,地质概况"
768,geometry,y 表名词， 人或小东西 常带有嬉谑性和爱称。,n.几何学
769,gesture,ture ture在s结尾的词根后变成sure,"n.姿态,手势,表示;v.作手势,以手势表示"
770,giant,ant 表形容词， ...的,"n.巨人,大力士,巨大的动物或植物,伟人,天才;adj.庞大的,巨大的"
771,gigantic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"adj.巨人般的,巨大的"
772,given,en 表动词， 变成,"adj.赠予的,沉溺的,特定的,假设的;vbl.give的过去分词"
773,glance,ance 表名词， 性质，状况,"vi.扫视,匆匆一看;n.一瞥,眼光,匆匆一看"
774,glitter,er 表动词， 反复做,"vi.闪闪发光,闪烁,闪光;n.闪光"
775,global,al 表形容词， ...的,"adj.球形的,全球的,全世界的"
776,gloomy,y 表名词，加在形容词或以r结尾的单词后。,"adj.黑暗的,阴沉的,令人沮丧的,阴郁的"
777,glory,ory 表名词，指场所等,"n.荣誉,光荣"
778,goodness,"ness 表名词， 性质, 状态， 通常加在形容词后面","n.仁慈,善良"
779,gorgeous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.华丽的,灿烂的"
780,govern,ern 表形容词， ...方向的,"v.统治,支配,管理"
781,governor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.统治者,管理者,地方长官,主管人员"
782,graceful,"ful 表形容词, 有...的",adj.优美的
783,gracious,ous 表形容词，通常放在一个完整的单词后，表示 ...的,"adj.亲切的,高尚的"
784,gradual,al 表名词， 人，物，状态,"adj.逐渐的,逐步的,渐进的"
785,grain,ain 表名词， ...人,"n.谷物,谷类,谷粒,细粒,颗粒,粮食"
786,grammar,ar 表形容词， ...的,"n.文法,有关原理的书,入门的书"
787,grant,ant 表形容词， ...的,"vt.同意,准予,承认(某事为真)～"
788,graphic,"ic 表形容词, ....的 ，有时作tic","adj.绘画似的,图解的"
