,单词,前缀,单词释义
316,definition,de 表示 去掉，变坏，离开，变慢，向下 等,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
317,definitive,de 表示 使....成为， 加强 等,"adj.最后的,确定的,权威性的"
318,degenerate,de 表示 去掉，变坏，离开，变慢，向下 等,adj.退化的;v.退化
319,degrade,de 表示 使....成为， 加强 等,"v.(使)降级,(使)堕落,(使)退化"
320,delete,de 表示 去掉，变坏，离开，变慢，向下 等,vt.删除
321,deliberate,de 表示 使....成为， 加强 等,"adj.深思熟虑的,故意的,预有准备的;v.商讨"
322,delicious,de 表示 去掉，变坏，离开，变慢，向下 等,adj.美味的
323,delivery,de 表示 使....成为， 加强 等,"n.递送,交付,分娩,交货,引渡;n.[律]财产等的正式移交,发送,传输"
324,democracy,de 表示 去掉，变坏，离开，变慢，向下 等,"n.民主政治,民主主义"
325,democratic,de 表示 使....成为， 加强 等,"adj.民主的,民主主义的,民主政体的,平民的"
326,denial,de 表示 去掉，变坏，离开，变慢，向下 等,"n.否认,否定,谢绝,拒绝"
327,denote,de 表示 使....成为， 加强 等,"vt.指示,表示"
328,dense,de 表示 去掉，变坏，离开，变慢，向下 等,"adj.密集的,浓厚的"
329,density,de 表示 使....成为， 加强 等,n.密度
330,dentist,de 表示 去掉，变坏，离开，变慢，向下 等,n.牙科医生
331,deny,de 表示 使....成为， 加强 等,"v.否认,拒绝"
332,departure,de 表示 去掉，变坏，离开，变慢，向下 等,"n.启程,出发,离开"
333,dependent,de 表示 使....成为， 加强 等,"adj.依靠的,依赖的,由...决定的,随...而定的"
334,deport,de 表示 去掉，变坏，离开，变慢，向下 等,"vt.举止,驱逐"
335,deposit,de 表示 使....成为， 加强 等,"n.堆积物,沉淀物,存款,押金,保证金,存放物;vt.存放,堆积;vi.沉淀"
336,depression,de 表示 去掉，变坏，离开，变慢，向下 等,"n.沮丧,消沉,低气压,低压"
337,deprive,de 表示 使....成为， 加强 等,"vt.剥夺,使丧失"
338,derive,de 表示 去掉，变坏，离开，变慢，向下 等,vt.得自;vi.起源
339,descend,de 表示 使....成为， 加强 等,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去"
340,descent,de 表示 去掉，变坏，离开，变慢，向下 等,"n.降下,降落,世系,血统,侵袭"
341,describe,de 表示 使....成为， 加强 等,"vt.描写,记述,形容,形容;v.描述"
342,design,de 表示 去掉，变坏，离开，变慢，向下 等,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思"
343,designate,de 表示 使....成为， 加强 等,"vt.指明,指出,任命,指派;v.指定,指派"
344,desire,de 表示 去掉，变坏，离开，变慢，向下 等,"vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求"
345,despair,de 表示 使....成为， 加强 等,"n.绝望,失望,令人失望的人(事物);vi.绝望"
346,despise,de 表示 去掉，变坏，离开，变慢，向下 等,vt.轻视
347,despite,de 表示 使....成为， 加强 等,"prep.不管,尽管,不论"
348,destination,de 表示 去掉，变坏，离开，变慢，向下 等,"n.目的地,[计]目的文件,目的单元格"
349,destined,de 表示 使....成为， 加强 等,adj.去往…的
350,destruction,de 表示 去掉，变坏，离开，变慢，向下 等,"n.破坏,毁灭"
351,destructive,de 表示 使....成为， 加强 等,adj.破坏(性)的
352,detail,de 表示 去掉，变坏，离开，变慢，向下 等,"n.细节,详情;vt.详述,细说;"
353,detain,de 表示 使....成为， 加强 等,"v.拘留,留住,阻止"
354,detection,de 表示 去掉，变坏，离开，变慢，向下 等,"n.察觉,发觉,侦查,探测,发现"
355,detective,de 表示 使....成为， 加强 等,n.侦探;adj.侦探的
356,determination,de 表示 去掉，变坏，离开，变慢，向下 等,"n.决心,果断"
357,determine,de 表示 使....成为， 加强 等,"v.决定,确定,测定,使下定决心,[律]使终止"
358,device,de 表示 去掉，变坏，离开，变慢，向下 等,"n.装置,设计,图案,策略,发明物,设备;[计]安装设备驱动程序"
359,devil,de 表示 使....成为， 加强 等,"n.魔鬼,恶棍"
360,devote,de 表示 去掉，变坏，离开，变慢，向下 等,"vt.投入于,献身"
361,diagram,dia 表示 穿过，二者之间,n.图表
362,dialect,di 表示 使...变成，分开，离开,"n.方言,语调"
363,diameter,di 表示 二个，双,n.直径
364,dictation,di 表示 使...变成，分开，离开,"n.听写,口述"
365,differ,di 表示 二个，双,"vi.不一致,不同"
366,diffuse,dif 和辅音重复表示 不，否定，分开,"n.分类,摘要;vi.消化;vt.消化,融会贯通"
367,digest,di 表示 使...变成，分开，离开,"v.散播,传播,漫射,扩散,(使)慢慢混合;adj.散开的,弥漫的"
368,digital,di 表示 二个，双,"adj.数字的,数位的,手指的;n.数字,数字式"
369,dilemma,di 表示 使...变成，分开，离开,"n.进退两难的局面,困难的选择"
370,diligent,di 表示 二个，双,"adj.勤勉的,用功的,细心而继续不断的"
371,dim,di 表示 使...变成，分开，离开,"adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的;vt.使暗淡,使失去光泽;n.<美俚>笨蛋、傻子"
372,dimension,di 表示 二个，双,"n.尺寸,尺度,维(数),度(数),元"
373,dine,di 表示 使...变成，分开，离开,"vi.吃饭,进餐"
374,dip,di 表示 二个，双,"v.浸,蘸,沾"
375,diplomat,di 表示 使...变成，分开，离开,"n.外交官,有外交手腕的人,有权谋的人"
376,diplomatic,di 表示 二个，双,"adj.外交的,老练的"
377,directory,di 表示 使...变成，分开，离开,"n.姓名地址录,目录"
378,dirt,di 表示 二个，双,"n.污垢,泥土"
379,disappear,dis 表示 不，消失掉,"vi.消失,不见"
380,disaster,dis 表示 分开，分离,"n.灾难,天灾,灾祸"
381,disastrous,di 表示 使...变成，分开，离开,"adj.损失惨重的,悲伤的"
382,discard,di 表示 二个，双,"vt.丢弃,抛弃;v.放弃"
383,discharge,dis 表示 不，消失掉,"vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭);vi.卸货,流注;n.卸货,流出,放电"
384,discipline,dis 表示 分开，分离,"n.纪律,学科;v.训练"
385,disclose,di 表示 使...变成，分开，离开,"vt.揭露,透露"
386,discount,di 表示 二个，双,n.折扣
387,discreet,dis 表示 不，消失掉,"adj.小心的,慎重的,有思虑的,贤明的"
388,discrepancy,dis 表示 分开，分离,"n.相差,差异,矛盾"
389,discrete,di 表示 使...变成，分开，离开,"adj.不连续的,离散的"
390,discriminate,di 表示 二个，双,"v.歧视,区别,区别待遇"
391,disguise,dis 表示 不，消失掉,"v.假装,伪装,掩饰;n.伪装"
392,disgust,dis 表示 分开，分离,"n.厌恶,嫌恶;vi.令人厌恶,令人反感;vt.使作呕"
393,dismay,di 表示 使...变成，分开，离开,"n.沮丧,惊慌;v.使沮丧,使惊慌"
394,dismiss,di 表示 二个，双,"vt.解散,下课,开除,解职,使(或让)离开;vi.解散"
395,dispatch,dis 表示 不，消失掉,"vt.分派,派遣;n.派遣,急件"
396,disperse,dis 表示 分开，分离,"v.(使)分散,(使)散开,疏散"
397,displace,di 表示 使...变成，分开，离开,"vt.移置,转移,取代,置换;v.转移"
398,display,di 表示 二个，双,"vt.陈列,展览,显示;n.陈列,展览,显示,显示器"
399,dispose,dis 表示 不，消失掉,"v.处理,处置,部署;vt.布置,安排,除去,使愿意"
400,disposition,dis 表示 分开，分离,n.部署
401,dispute,di 表示 使...变成，分开，离开,"v.争论,辩论,怀疑,抗拒,阻止,争夺(土地,胜利等);n.争论,辩论,争吵"
402,disregard,di 表示 二个，双,"v.不理漠视;n.漠视,忽视"
403,dissipate,dis 表示 不，消失掉,"v.驱散,(使)(云、雾、疑虑等)消散,浪费(金钱或时间)"
404,dissolve,dis 表示 分开，分离,"v.溶解,解散"
405,distill,di 表示 使...变成，分开，离开,"vt.蒸馏,提取;vi.滴下"
406,distinct,di 表示 二个，双,"adj.清楚的,明显的,截然不同的,独特的"
407,distinguish,dis 表示 不，消失掉,"v.区别,辨别"
408,distort,dis 表示 分开，分离,"vt.弄歪(嘴脸等),扭曲,歪曲(真理、事实等),误报"
409,distract,di 表示 使...变成，分开，离开,v.转移
410,distress,di 表示 二个，双,"n.悲痛,穷困,不幸,危难,忧伤;v.使悲痛,使穷困,使忧伤"
411,distribution,dis 表示 不，消失掉,"n.分配,分发,配给物,销售,法院对无遗嘱死亡者财产的分配,分布状态,区分,分类,发送,发行"
412,disturb,dis 表示 分开，分离,"vt.弄乱,打乱,打扰,扰乱;v.扰乱"
413,disturbance,di 表示 使...变成，分开，离开,"n.骚动,动乱,打扰,干扰,骚乱,搅动"
414,ditch,di 表示 二个，双,"n.沟,沟渠,壕沟"
415,diverse,di 表示 使...变成，分开，离开,"adj.不同的,变化多的"
416,diversion,di 表示 二个，双,"n.转移,转换,牵制,解闷,娱乐"
417,divide,di 表示 使...变成，分开，离开,"v.分,划分,分开,隔开"
418,divine,di 表示 二个，双,"adj.神的,神圣的,非凡的,超人的,非常可爱的;n.牧师"
419,divorce,di 表示 使...变成，分开，离开,"n.离婚,脱离;vt.使离婚,与...脱离"
420,dizzy,di 表示 二个，双,"adj.(指人)晕眩的,昏乱的,(指地点,情况)使人晕眩的"
421,eagle,e 表示 出，出来,"n.鹰,鹰状标饰"
422,earthquake,e 表示 出，出来,"n.地震,[喻]在震荡,在变动"
423,eccentric,e 表示 出，出来,adj.古怪;n.行为古怪的人
424,eclipse,e 表示 出，出来,"n.食,日蚀,月蚀,蒙蔽,衰落;vt.引起日蚀,引起月蚀,超越,使黯然失色"
425,economic,e 表示 出，出来,"adj.经济(上)的,产供销的,经济学的"
426,economy,e 表示 出，出来,"n.经济,节约,节约措施,经济实惠,系统,机体,经济制度的状况"
427,edition,e 表示 出，出来,"n.版本,版"
428,editorial,e 表示 出，出来,"n.社论;adj.编辑上的,主笔的,社论的"
429,effective,ef 表示 出，出来,"adj.有效的,被实施的,给人深刻印象,有生力量"
430,efficiency,e 表示 出，出来,"n.效率,功效"
431,effort,ef 表示 出，出来,"n.努力,成就"
432,ego,e 表示 出，出来,"n.自我,利已主义,自负"
433,elaborate,e 表示 出，出来,"adj.精心制作的,详细阐述的,精细;vt.精心制作,详细阐述;v.详细描述"
434,elastic,e 表示 出，出来,adj.弹性的
435,elderly,e 表示 出，出来,"adj.过了中年的,稍老的"
436,election,e 表示 出，出来,"n.选举,当选,选择权,[宗]上帝的选拔"
437,electrical,e 表示 出，出来,"adj.电的,有关电的"
438,electricity,e 表示 出，出来,"n.电流,电,电学"
439,electronic,e 表示 出，出来,adj.电子的
440,element,e 表示 出，出来,"n.要素,元素,成分,元件,自然环境"
441,elevate,e 表示 出，出来,"vt.举起,提拔,振奋,提升...的职位"
442,elicit,e 表示 出，出来,"vt.得出,引出,抽出,引起"
443,eliminate,e 表示 出，出来,"vt.排除,消除;v.除去"
444,eloquent,e 表示 出，出来,"adj.雄辩的,有口才的,动人的,意味深长的"
445,embark,em 表示 进入... 之中，包围,"v.上船,上飞机,着手,从事,装于船上,登上"
446,embarrass,em 表示 使..... 进入状态,"vt.使困窘,使局促不安,阻碍,麻烦"
447,embassy,e 表示 出，出来,"n.大使及其随员,大使的派遣,大使馆"
448,embody,em 表示 进入... 之中，包围,"vt.具体表达,使具体化,包含,收录"
449,embrace,em 表示 使..... 进入状态,"vt.拥抱,互相拥抱,包含,收买,信奉;vi.拥抱;n.拥抱"
450,emerge,e 表示 出，出来,"vi.显现,浮现,暴露,形成,(由某种状态)脱出,(事实)显现出来"
451,emit,em 表示 进入... 之中，包围,"vt.发出,放射,吐露,散发,发表,发行"
452,emotion,em 表示 使..... 进入状态,"n.情绪,情感,感情"
453,emotional,e 表示 出，出来,"adj.情绪的,情感的"
454,emphasis,em 表示 进入... 之中，包围,"n.强调,重点"
455,emphasize,em 表示 使..... 进入状态,"vt.强调,着重;v.强调"
456,empire,e 表示 出，出来,"n.帝国,帝权"
457,employee,em 表示 进入... 之中，包围,"n.职工,雇员,店员"
458,employer,em 表示 使..... 进入状态,"n.雇主,老板"
459,employment,e 表示 出，出来,"n.雇用,使用,利用,工作,职业"
460,enclose,en 表示 进入... 之中，包围,"vt.放入封套,装入,围绕"
461,enclosure,en 表示 使..... 进入状态,"n.围住,围栏,四周有篱笆或围墙的场地"
462,encounter,e 表示 出，出来,"v.遭遇,遇到,相遇;n.遭遇,遭遇战"
463,endeavor,en 表示 进入... 之中，包围,"n.努力,尽力;vi.尽力,努力"
464,ending,en 表示 使..... 进入状态,"n.结尾,结局"
465,endless,e 表示 出，出来,"adj.无止境的,无穷的"
466,endurance,en 表示 进入... 之中，包围,"n.忍耐(力),持久(力),耐久(性)"
467,endure,en 表示 使..... 进入状态,"v.耐久,忍耐"
468,energetic,e 表示 出，出来,"adj.精力充沛的,积极的"
469,engage,en 表示 进入... 之中，包围,"vt.使忙碌,雇佣,预定,使从事于,使参加;vi.答应,从事,交战,[机]接合,啮合"
470,engagement,en 表示 使..... 进入状态,"n.约会,婚约,诺言,交战,接站,雇拥,[机]接合"
471,engine,e 表示 出，出来,"n.发动机,机车,火车头"
472,enhance,en 表示 进入... 之中，包围,"vt.提高,增强;v.提高"
473,enlarge,en 表示 使..... 进入状态,"v.扩大,放大"
474,enlighten,e 表示 出，出来,"vt.启发,启蒙,教导,授予...知识,开导,<古>照耀"
475,enquire,en 表示 进入... 之中，包围,v.询问
476,enquiry,en 表示 使..... 进入状态,n.询问
477,enrich,e 表示 出，出来,"vt.使富足,使肥沃,装饰,加料于,浓缩"
478,ensue,en 表示 进入... 之中，包围,"vi.跟着发生,继起;vt.(基督教《圣经》用语)追求"
479,ensure,en 表示 使..... 进入状态,"vt.保证,担保,使安全,保证得到;v.确保,确保,保证"
480,entail,e 表示 出，出来,"vt.使必需,使蒙受,使承担,遗传给;n.[建]限定继承权"
481,entertainment,en 表示 进入... 之中，包围,"n.款待,娱乐,娱乐表演"
482,enthusiasm,en 表示 使..... 进入状态,"n.狂热,热心,积极性,激发热情的事物"
483,enthusiastic,e 表示 出，出来,"adj.热心的,热情的"
484,entitle,en 表示 进入... 之中，包围,"vt.给...权利(或资格),给...题名,给...称号;v.授权,授权"
485,entity,en 表示 使..... 进入状态,n.实体
486,entrepreneur,e 表示 出，出来,"n.<法>企业家,主办人"
487,environment,en 表示 进入... 之中，包围,"n.环境,外界"
488,envisage,en 表示 使..... 进入状态,v.正视
489,envy,e 表示 出，出来,"n.&vt.羡慕,嫉妒"
490,epoch,e 表示 出，出来,"n.新纪元,时代,时期,时间上的一点,[地质]世"
491,equation,e 表示 出，出来,"n.相等,平衡,综合体,因素,方程式,等式"
492,equip,e 表示 出，出来,"vt.装备,配备,训练,准备行装"
493,era,e 表示 出，出来,"n.时代,纪元,时期,[地]代"
494,erosion,e 表示 出，出来,"n.腐蚀,侵蚀"
495,error,e 表示 出，出来,"n.错误,过失,误差"
496,escort,e 表示 出，出来,"n.护卫(队),护送,陪同(人员),护卫队;v.护卫,护送,陪同"
497,essence,e 表示 出，出来,"n.基本,[哲]本质,香精"
498,establish,e 表示 出，出来,"vt.建立,设立,安置,使定居,使人民接受,确定;v.建立"
499,estate,e 表示 出，出来,"n.状态,不动产,时期,阶层,财产"
500,estimate,e 表示 出，出来,"v.&n.估计,估价,评估"
501,ethnic,e 表示 出，出来,"adj.人种的,种族的,异教徒的"
502,eve,e 表示 出，出来,"n.[诗]黄昏,前夕,前日"
503,evidence,e 表示 出，出来,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
504,evidently,e 表示 出，出来,"adv.明显地,显然"
505,evoke,e 表示 出，出来,"vt.唤起,引起,博得"
506,evolve,e 表示 出，出来,"v.(使)发展,(使)进展,(使)进化"
507,exaggerate,ex 表示 出，出去,"v.夸大,夸张"
508,exceed,ex 表示 前面的，前任的,"vt.超越,胜过;vi.超过其他"
509,exceedingly,e 表示 出，出来,"adv.非常地,极度地"
510,exceptional,ex 表示 出，出去,"adj.例外的,异常的"
511,excess,ex 表示 前面的，前任的,"n.过度,剩于,无节制,超过,超额;adj.过度的,额外的"
512,excessive,e 表示 出，出来,"adj.过多的,过分的,额外"
513,excitement,ex 表示 出，出去,"n.刺激,兴奋,激动,搔动"
514,exclaim,ex 表示 前面的，前任的,"v.呼喊,惊叫,大声叫"
515,exclude,e 表示 出，出来,"vt.拒绝接纳,把...排除在外,排斥"
516,excursion,ex 表示 出，出去,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
517,execute,ex 表示 前面的，前任的,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
518,execution,e 表示 出，出来,"n.实行,完成,执行,死刑,制作,(武器等的)破坏效果,杀伤力"
519,exemplify,ex 表示 出，出去,"vt.例证,例示,作为...例子"
520,exempt,ex 表示 前面的，前任的,v.免除;adj.被免除的
521,exert,e 表示 出，出来,"vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽"
522,exhibit,ex 表示 出，出去,"vt.展出,陈列;n.展览品,陈列品,展品;v.展示"
523,exile,ex 表示 前面的，前任的,"n.放逐,充军,流放,流犯,被放逐者;vt.放逐,流放,使背井离乡"
524,existence,e 表示 出，出来,"n.存在,实在,生活,存在物,实在物"
525,expand,ex 表示 出，出去,"vt.使膨胀,详述,扩张;vi.张开,发展"
526,expansion,ex 表示 前面的，前任的,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
527,expectation,e 表示 出，出来,"n.期待,预料,指望,展望,[数]期望(值)"
528,expel,ex 表示 出，出去,"v.驱逐,开除,排出,发射"
529,expend,ex 表示 前面的，前任的,"vt.花费,消耗,支出,[海]把(暂时不用的绳)绕在杆上"
530,expenditure,e 表示 出，出来,"n.支出,花费"
531,experimental,ex 表示 出，出去,"adj.实验的,根据实验的"
532,expert,ex 表示 前面的，前任的,"n.专家,行家,[军](特等)射手;adj.老练的,内行的,专门的;vt.在...中当行家,当专家"
533,expertise,e 表示 出，出来,"n.专家的意见,专门技术"
534,explicit,ex 表示 出，出去,"adj.外在的,清楚的,直率的,(租金等)直接付款的"
535,explode,ex 表示 前面的，前任的,"vt.使爆炸;vi.爆炸,爆发,破除,推翻,激发"
536,exploit,e 表示 出，出来,"vt.开拓,开发,开采,剥削,用以自肥;v.使用"
537,explosion,ex 表示 出，出去,"n.爆发,发出,爆炸,[矿]煤气爆炸"
538,explosive,ex 表示 前面的，前任的,"adj.爆炸(性)的,爆发(性)的,暴露;n.爆炸物,炸药"
539,export,e 表示 出，出来,"vt.输出;n.出口货,输出,出口,出口商品;v.出口"
540,exposition,ex 表示 出，出去,"n.博览会,展览会,说明,曝露,[戏]展示部分,[音]呈示部"
541,exposure,ex 表示 前面的，前任的,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
542,expression,e 表示 出，出来,"n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号"
543,extend,ex 表示 出，出去,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
544,extension,ex 表示 前面的，前任的,"n.延长,扩充,范围;n.扩展名;adj.[逻]外延的,客观现实的"
545,extensive,e 表示 出，出来,"adj.广大的,广阔的,广泛的"
546,exterior,ex 表示 出，出去,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的;n.外部,表面,外型"
547,external,ex 表示 前面的，前任的,"adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面"
548,extinct,e 表示 出，出来,"adj.熄灭的,灭绝的,耗尽的;vt.<古>使熄灭"
549,extra,extra 表示 以外的，超过的,"adj.额外的,不包括在价目内的,特大的,特佳的;adv.特别地,非常,另外;n.额外人(或物),(报纸)号外,上等品,(电影)临时演员"
550,extract,ex 表示 出，出去,"n.精,汁,榨出物,摘录,选粹;vt.拔出,榨取,开方,求根,摘录,析取,吸取"
551,extraordinary,ex 表示 前面的，前任的,"adj.非常的,特别的,非凡的,特派的"
552,extravagant,e 表示 出，出来,"adj.奢侈的,浪费的,过分的,放纵的"
553,eyesight,e 表示 出，出来,"n.视力,目力"
554,forecast,fore 表示 前面，预先,"n.先见,预见,预测,预报;vt.预想,预测,预报,预兆"
555,foremost,fore 表示 前面，预先,"adj.(位置或时间)最先的,最初的,最重要的;adv.首要地,首先"
556,hemisphere,hemi 表示 半,n.半球
557,homogeneous,homo 表示 同类的,"adj.同类的,相似的,均一的,均匀的"
558,hypothesis,hypo 表示 下面，次等,n.假设
559,illegal,il 辅音重复表示 不，无,"adj.违法的,不合规定的"
560,illuminate,il 表示 使.....成为，进入,"vt.照明,照亮,阐明,说明,使灿烂,以灯火装饰(街道等);vi.照亮"
561,illustrate,il 辅音重复表示 不，无,"vt.举例说明,图解,加插图于,阐明;vi.举例"
562,illustration,il 表示 使.....成为，进入,"n.说明,例证,例子,图表,插图,图解"
563,image,im 表示 不，无，非,"n.图象,肖像,偶像,形象化的比喻,极为相象,映像,典型;vt.想象,作...的像,反映,象征"
564,imagination,im 表示 向内，进入,"n.想象,空想,想象的事物,想象力,听觉"
565,imaginative,im 表示 不，无，非,"adj.想象的,虚构的"
566,imitation,im 表示 向内，进入,"n.模仿,效法,冒充,赝品,仿造物"
567,immediately,im 表示 不，无，非,"adv.立即,马上,直接地"
568,immerse,im 表示 向内，进入,"vt.沉浸,使陷入"
569,immigrant,im 表示 不，无，非,"adj.(从外国)移来的,移民的,移居的;n.移民,侨民"
570,impact,im 表示 向内，进入,"n.碰撞,冲击,冲突,影响,效果;vt.挤入,撞击,压紧,对...发生影响"
571,impair,im 表示 不，无，非,v.削弱
572,impatient,im 表示 向内，进入,"adj.不耐烦的,急躁的,不耐心的"
573,imperative,im 表示 不，无，非,"n.命令,诫命,需要,规则,祈使语气;adj.命令的,强制的,紧急的,必要的,势在必行的,[语法]祈使的"
574,impetus,im 表示 向内，进入,"n.推动力,促进"
575,implement,im 表示 不，无，非,"n.工具,器具;vt.贯彻,实现;v.执行"
576,implicit,im 表示 向内，进入,"adj.暗示的,盲从的,含蓄的,固有的,不怀疑的,绝对的"
577,imply,im 表示 不，无，非,"vt.暗示,意味"
578,impose,im 表示 向内，进入,"vt.征税,强加,以...欺骗;vi.利用,欺骗,施影响"
579,impress,im 表示 不，无，非,"vt.印,盖印,留下印象"
580,impressive,im 表示 向内，进入,"adj.给人深刻印象的,感人的"
581,improve,im 表示 不，无，非,"v.改善,改进"
582,impulse,im 表示 向内，进入,"n.推动,刺激,冲动,推动力;vt.推动"
583,incentive,in 表示 向内，进入,n.动机;adj.激励的
584,incidence,in 表示 不，无，非,"n.落下的方式,影响范围,[物理]入射"
585,incidentally,in 表示 向内，进入,"adv.附带地,顺便提及"
586,incline,in 表示 不，无，非,"n.倾斜,斜坡,斜面;vt.使倾向于,使倾斜;vi.倾向,倾斜"
587,inclusive,in 表示 向内，进入,"adj.包含的,包括的"
588,incorporate,in 表示 不，无，非,"adj.合并的,结社的,一体化的;vt.合并,使组成公司,具体表现;vi.合并,混合,组成公司;vt.[律]结社,成为法人组织"
589,incredible,in 表示 向内，进入,adj.<口>难以置信的
590,incur,in 表示 不，无，非,v.招致
591,independence,in 表示 向内，进入,"n.独立,自主"
592,independent,in 表示 不，无，非,"n.中立派,无党派者;adj.独立自主的,不受约束的"
593,indicate,in 表示 向内，进入,"vt.指出,显示,象征,预示,需要,简要地说明"
594,indication,in 表示 不，无，非,"n.指出,指示,迹象,暗示"
595,indifferent,in 表示 向内，进入,adj.无关紧要的
596,indignant,in 表示 不，无，非,"adj.愤怒的,愤慨的"
597,indirect,in 表示 向内，进入,"adj.间接的,迂回的"
598,indispensable,in 表示 不，无，非,"n.不可缺少之物;adj.不可缺少的,绝对必要的"
599,indoor,in 表示 向内，进入,"adj.户内的,室内的"
600,induce,in 表示 不，无，非,"vt.劝诱,促使,导致,引起,感应"
601,industrial,in 表示 向内，进入,"adj.工业的,产业的,实业的,从事工业的;n.工业工人,[商]工业股票"
602,industrialize,in 表示 不，无，非,vt.使工业化;vi.工业化
603,inevitable,in 表示 向内，进入,"adj.不可避免的,必然的"
604,infant,in 表示 不，无，非,"n.婴儿,幼儿;adj.婴儿的,幼稚的"
605,infectious,in 表示 向内，进入,"adj.有传染性的,易传染的,有感染力的"
606,infer,in 表示 不，无，非,v.推断
607,inferior,in 表示 向内，进入,"adj.下等的,下级的,差的,次的,自卑的,劣等的"
608,infinite,in 表示 不，无，非,"n.无限的东西(如空间、时间),[数]无穷大;adj.无穷的,无限的,无数的,极大的"
609,inflict,in 表示 向内，进入,v.造成
610,influence,in 表示 不，无，非,"n.影响,感化,势力,有影响的人(或事),(电磁)感应;vt.影响,改变"
611,inform,in 表示 向内，进入,"v.(～of/about)通知,告诉,获悉,告知"
612,ingenious,in 表示 不，无，非,"adj.机灵的,有独创性的,精制的,具有创造才能"
613,inhabit,in 表示 向内，进入,"vt.居住于,存在于,占据,栖息"
614,inhabitant,in 表示 不，无，非,"n.居民,居住者"
615,inherit,in 表示 向内，进入,"vt.继承,遗传而得"
616,inhibit,in 表示 不，无，非,"抑制,约束,[化][医]抑制"
617,initiate,in 表示 向内，进入,"vt.开始,发动,传授;v.开始,发起"
618,initiative,in 表示 不，无，非,n.主动
619,injection,in 表示 向内，进入,"n.注射,注射剂,(毛细血管等的)充血,(人造卫星,宇宙飞船等的)射入轨道"
620,injure,in 表示 不，无，非,"vt.损害,伤害;v.伤害"
621,inland,in 表示 向内，进入,"adj.内陆的,国内的;adv.在内地,向内地;n.内地"
622,inlet,in 表示 不，无，非,"n.进口,入口,水湾,小港,插入物"
623,inner,in 表示 向内，进入,"adj.内部的,里面的,内心的;n.内部"
624,innocent,in 表示 不，无，非,"adj.(～of)清白的,无罪的,天真的,无知的"
625,innumerable,in 表示 向内，进入,"adj.无数的,数不清的"
626,input,in 表示 不，无，非,n.输入;v.输入
627,inquiry,in 表示 向内，进入,"n.质询,调查"
628,insane,in 表示 不，无，非,"adj.患精神病的,精神病患者的,极愚蠢的"
629,insert,in 表示 向内，进入,"vt.插入,嵌入;n.插入物"
630,insight,in 表示 不，无，非,"n.洞察力,见识"
631,inspect,in 表示 向内，进入,"vt.检查,视察;"
632,inspiration,in 表示 不，无，非,n.灵感
633,install,in 表示 向内，进入,"vt.安装,安置,使就职"
634,installation,in 表示 不，无，非,"n.[计]安装,装置,就职"
635,instance,in 表示 向内，进入,"n.实例,建议,要求,情况,场合;vt.举...为例,获得例证"
636,instant,in 表示 不，无，非,"adj.立即的,直接的,紧迫的,刻不容缓的,(食品)速溶的,方便的,即时的"
637,instead,in 表示 向内，进入,"adv.代替,改为,抵作,更换"
638,instinct,in 表示 不，无，非,n.本能
639,institution,in 表示 向内，进入,"n.公共机构,协会,制度"
640,instruct,in 表示 不，无，非,"vt.教,教导,命令,指示,通知"
641,instrument,in 表示 向内，进入,"n.工具,手段,器械,器具,手段"
642,instrumental,in 表示 不，无，非,"adj.仪器的,器械的,乐器的"
643,insult,in 表示 向内，进入,"n.侮辱,凌辱;vt.侮辱,凌辱"
644,insurance,in 表示 不，无，非,"n.保险,保险单,保险业,保险费"
645,intact,in 表示 向内，进入,"adj.完整无缺的,尚未被人碰过的,(女子)保持童贞的,(家畜)未经阉割的"
646,integral,in 表示 不，无，非,"adj.完整的,整体的,[数学]积分的,构成整体所需要的;n.[数学]积分,完整,部分"
647,integrity,in 表示 向内，进入,"n.正直,诚实,完整,完全,完整性"
648,intellect,in 表示 不，无，非,n.智力
649,intelligence,in 表示 向内，进入,"n.智力,聪明,智能"
650,intelligent,in 表示 不，无，非,"adj.聪明的,伶俐的,有才智的,[计]智能的"
651,intend,in 表示 向内，进入,"vt.想要,打算,意指,意谓"
652,intense,in 表示 不，无，非,"adj.强烈的,剧烈的,热切的,热情的,激烈的"
653,intensity,in 表示 向内，进入,"n.强烈,剧烈,强度,亮度"
